sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,,,0.41,,,
1,3588.00,,,,,
1,3772.00,0.52,,,,
1,3587.00,0.46,0.45,,-1.508,4.78
1,5633.00,0.94,,-0.053,,4.40
1,5382.73,1.09,0.93,0.314,-0.049,4.33
1,4991.00,0.55,,,-0.766,
1,4535.00,0.70,,,,
1,,,0.78,,,
1,,0.55,,,,
1,4670.35,0.69,0.74,-0.089,-0.695,4.63
1,5823.00,0.96,1.02,0.000,,4.48
1,5705.00,0.93,,-0.010,,4.48
1,5711.17,0.99,1.02,0.018,-0.026,4.45
1,5820.00,0.93,,-0.010,,4.60
